date,stock_code,open,high,low,close,volume,amount,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
2022-09-09,002130.SZ,7.7,7.77,7.45,7.6,290571.87,220022.473,2.3279,2.8678,0.72,17.3241,17.9177,2.379,1.771,1.77,0.3944,0.4605,125989.8562,124822.468,101323.2625,957522.9071,948650.7568
2022-09-13,002130.SZ,7.67,7.76,7.57,7.66,207962.33,159260.498,1.6661,2.0525,0.5,17.4609,18.0591,2.3978,1.785,1.784,0.3913,0.4569,125989.8562,124822.468,101323.2625,965082.2985,956140.1049
2022-09-14,002130.SZ,7.5,7.6,7.32,7.37,254525.39,188986.221,2.0391,2.512,0.68,16.7999,17.3754,2.307,1.7174,1.7164,0.4067,0.4749,125989.8562,124822.468,101323.2625,928545.2402,919941.5892
2022-09-15,002130.SZ,7.5,7.57,6.79,6.95,522573.61,372199.851,4.1865,5.1575,1.66,15.8425,16.3852,2.1755,1.6196,1.6186,0.4313,0.5036,125989.8562,124822.468,101323.2625,875629.5006,867516.1526
2022-09-16,002130.SZ,6.89,7.05,6.7,6.73,256495.8,175707.194,2.0549,2.5315,0.72,15.341,15.8666,2.1067,1.5683,1.5674,0.4454,0.5201,125989.8562,124822.468,101323.2625,847911.7322,840055.2096
2022-09-19,002130.SZ,6.76,6.89,6.59,6.67,208267.03,139711.659,1.6685,2.0555,0.68,15.2042,15.7251,2.0879,1.5543,1.5534,0.4494,0.5247,125989.8562,124822.468,101323.2625,840352.3409,832565.8616
2022-09-20,002130.SZ,6.72,6.94,6.71,6.8,177124.34,120683.875,1.419,1.7481,0.61,15.5006,16.0316,2.1286,1.5846,1.5837,0.4408,0.5147,125989.8562,124822.468,101323.2625,856731.0222,848792.7824
2022-09-21,002130.SZ,6.7,6.79,6.55,6.67,182798.4,121359.594,1.4645,1.8041,0.64,15.2042,15.7251,2.0879,1.5543,1.5534,0.4494,0.5247,125989.8562,124822.468,101323.2625,840352.3409,832565.8616
2022-09-22,002130.SZ,6.62,6.75,6.59,6.65,124379.02,83026.005,0.9964,1.2275,0.46,15.1586,15.678,2.0816,1.5497,1.5488,0.4508,0.5263,125989.8562,124822.468,101323.2625,837832.5437,830069.4122
2022-09-23,002130.SZ,6.64,6.69,6.4,6.5,182713.05,119487.87,1.4638,1.8033,0.96,14.8167,15.3243,2.0347,1.5147,1.5138,0.4612,0.5385,125989.8562,124822.468,101323.2625,818934.0653,811346.042
